Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-tloe,branch-b7np,randomiser-oo54,randomiser-5zfx,randomiser-rrwr,randomiser-39gv,branch-m511,quota-so7f,quota-bi7i,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Manipulation: Spreadsheet
1,1704217505924,02/01/2024 17:45:05,1704217505924,0,02/01/2024 17:45:05,158033,3,task-ppjy,,33920316,BLIND,10039055,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1536x864,1536x703,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,set2_easy,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1704217511979,02/01/2024 17:45:11,1704217511979,0,02/01/2024 17:45:11,158033,3,task-ppjy,,33920316,BLIND,10039055,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1536x864,1536x703,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,set2_easy,1,start,Welcome,vo3k26,1,continue,,6061.32,6054.98,6061.32,6061.32,6054.98,6061.32,1,6061.32,0,0,,Click To Continue,Continue Button,2,object-14,start,,,,,,,,,,,,,,,,,,,,,
3,1704217520840,02/01/2024 17:45:20,1704217520840,0,02/01/2024 17:45:20,158033,3,task-ppjy,,33920316,BLIND,10039055,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1536x864,1536x703,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,set2_easy,1,instr_passages,Text,zppu2h,1,response,,8866.34,8857.96,8866.34,8866.34,8857.96,8866.34,1,8866.34,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,1,"TASK INSTRUCTIONS - PLEASE READ CAREFULLY!

The goal of this study is to learn how mind wandering affects how you learn information during reading. <br><br> Mind wandering is a term used to describe what occurs when your attention wanders from a task.
 Sometimes when your mind wanders, you begin thinking about personal events or concerns rather than your task. At other times, your mind can wander because you are bored or tired and you don’t really know what you’re thinking about; all you know is that you are no longer thinking about your task.
<br><br>
Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
4,1704217522046,02/01/2024 17:45:22,1704217522046,0,02/01/2024 17:45:22,158033,3,task-ppjy,,33920316,BLIND,10039055,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1536x864,1536x703,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,set2_easy,2,instr_passages,Text,zppu2h,1,response,,1215.380000000001,1198.8199999999997,1215.380000000001,1215.380000000001,1198.8199999999997,1215.380000000001,1,1215.380000000001,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,2,"In this task, you will read 4 passages and answer reading comprehension questions for each passage. <br><br> THE PASSAGES WILL BE PRESENTED IN A SENTENCE-BY-SENTENCE FASHION. PLEASE READ THE SENTENCES AT YOUR NORMAL READING PACE. ONCE YOU HAVE FINISHED READING ONE SENTENCE, PRESS THE SPACE BAR TO MOVE ON TO THE NEXT SENTENCE. Once you've read the sentence you MAY NOT GO BACK.<br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
5,1704217533715,02/01/2024 17:45:33,1704217533715,0,02/01/2024 17:45:33,158033,3,task-ppjy,,33920316,BLIND,10039055,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1536x864,1536x703,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,set2_easy,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1704217551160,02/01/2024 17:45:51,1704217551160,0,02/01/2024 17:45:51,158033,3,task-ppjy,,33920316,BLIND,10039055,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1536x864,1536x703,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,set2_easy,3,instr_passages,Text,zppu2h,1,response,,17449.98,17442.14,17449.98,17449.98,17442.14,17449.98,1,17449.98,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,3,"THE SET OF READING COMPREHENSION QUESTIONS FOR THAT PARTICULAR PASSAGE YOU’VE FINISHED READING WILL APPEAR AFTER EACH PASSAGE, not all together at the end. Like the sentences, once you've answered the questions you MAY NOT GO BACK TO CHANGE YOUR ANSWER.
<br><br> 
Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
7,1704217557918,02/01/2024 17:45:57,1704217557918,0,02/01/2024 17:45:57,158033,3,task-ppjy,,33920316,BLIND,10039055,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1536x864,1536x703,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,set2_easy,4,instr_passages,Text,zppu2h,1,response,,6765.84,6760.02,6765.84,6765.84,6760.02,6765.84,1,6765.84,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,4,"Additionally, while you are reading you will be randomly interrupted and asked “WERE YOU MIND WANDERING WHEN YOU READ THE PREVIOUS SENTENCE?"" You would have to choose either “Yes” or ""No"" by clicking on the appropriate option.<br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
8,1704217576788,02/01/2024 17:46:16,1704217576788,0,02/01/2024 17:46:16,158033,3,task-ppjy,,33920316,BLIND,10039055,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1536x864,1536x703,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,set2_easy,5,instr_passages,Text,zppu2h,1,response,,18875.82,18866.4,18875.82,18875.82,18866.4,18875.82,1,18875.82,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,6,"This entire task is self-paced. Though of course you should try NOT TO go over the task's ending time of 20 minutes. So try to do the task all the way through instead of taking too many small breaks in between. The task isn't long, so you should be able to do it without taking any breaks. <br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
9,1704217578258,02/01/2024 17:46:18,1704217578258,0,02/01/2024 17:46:18,158033,3,task-ppjy,,33920316,BLIND,10039055,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1536x864,1536x703,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,set2_easy,6,instr_passages,Text,zppu2h,1,response,,1479.4199999999983,1465.239999999998,1479.4199999999983,1479.4199999999983,1465.239999999998,1479.4199999999983,1,1479.4199999999983,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,7,Please press the space bar to start reading the first passage.,,,,,,,,,,,,,,,,,,,
10,1704217579965,02/01/2024 17:46:19,1704217579965,0,02/01/2024 17:46:19,158033,3,task-ppjy,,33920316,BLIND,10039055,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1536x864,1536x703,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,set2_easy,1,passages,Sentences,3emlxf,1,response,,1721.1800000000003,1714.9800000000032,1721.1800000000003,1721.1800000000003,1714.9800000000032,1721.1800000000003,1,1721.1800000000003,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,0,Passage 1,0,Easy,2,2,,,,,,,,,,,,
11,1704217587648,02/01/2024 17:46:27,1704217587648,0,02/01/2024 17:46:27,158033,3,task-ppjy,,33920316,BLIND,10039055,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1536x864,1536x703,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,set2_easy,2,passages,Sentences,3emlxf,1,response,,7688.199999999997,7675.779999999999,7688.199999999997,7688.199999999997,7675.779999999999,7688.199999999997,1,7688.199999999997,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,1,Elizabeth Barrett was wise enough to see that Browning was a fine poet.,0,Easy,2,2,,,,,,,,,,,,
12,1704217607424,02/01/2024 17:46:47,1704217607424,0,02/01/2024 17:46:47,158033,3,task-ppjy,,33920316,BLIND,10039055,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1536x864,1536x703,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,set2_easy,3,passages,Sentences,3emlxf,1,response,,19789.42,19782.22,19789.42,19789.42,19782.22,19789.42,1,19789.42,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,2,"The young man with the lemon-colored gloves and long dark hair and high-strung, restless manner who had visited her in 1846 had been moved to write to her because she had praised his poetry.",1,Easy,2,2,,,,,,,,,,,,
13,1704217611479,02/01/2024 17:46:51,1704217611479,0,02/01/2024 17:46:51,158033,3,task-ppjy,,33920316,BLIND,10039055,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1536x864,1536x703,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,set2_easy,1,probe,Thought probe,muxvwp,1,response,yes,4061.199999999997,4046.0399999999936,4061.199999999997,4061.199999999997,4046.0399999999936,4061.199999999997,1,4061.199999999997,0,0,,Click Response,response,2,object-81,probe,,,,,,,,,,,,,,,,,,,,,
14,1704217627989,02/01/2024 17:47:07,1704217627989,0,02/01/2024 17:47:07,158033,3,task-ppjy,,33920316,BLIND,10039055,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1536x864,1536x703,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,set2_easy,4,passages,Sentences,3emlxf,1,response,,16525.160000000003,16517.08,16525.160000000003,16525.160000000003,16517.08,16525.160000000003,1,16525.160000000003,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,3,"She found the man even more to her liking than the verse, and it was not so very long-only the time between May, 1845 and September, 1846-before Robert Browning had stolen the poetess from the dour father who guarded her like a dragon (never wanting her to marry any man), and taken her with him to Italy and a new life.",1,Easy,2,2,,,,,,,,,,,,
15,1704217630123,02/01/2024 17:47:10,1704217630123,0,02/01/2024 17:47:10,158033,3,task-ppjy,,33920316,BLIND,10039055,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1536x864,1536x703,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,set2_easy,2,probe,Thought probe,muxvwp,1,response,yes,2143.0800000000017,2131.2400000000052,2143.0800000000017,2143.0800000000017,2131.2400000000052,2143.0800000000017,1,2143.0800000000017,0,0,,Click Response,response,2,object-81,probe,,,,,,,,,,,,,,,,,,,,,
