Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,branch-s3b7,branch-wcx7,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: Voucher,Store: Prize,branch-spxp
1,1754562023654,07/08/2025 10:20,1754565623654,1,07/08/2025 12:20,233799,28,questionnaire-3ys3,,48574228,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,Voucher,,,,,info,,BEGIN,,,,,,,,Yes
5,1754562027129,07/08/2025 10:20,1754565627129,1,07/08/2025 12:20,233799,28,questionnaire-3ys3,,48574228,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,Voucher,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,value,Yes,,Yes|No,Multiple Choice,2,object-21,,1,Yes
6,1754562027130,07/08/2025 10:20,1754565627130,1,07/08/2025 12:20,233799,28,questionnaire-3ys3,,48574228,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,Voucher,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,quantised,1,,Yes|No,Multiple Choice,2,object-21,,1,Yes
7,1754562027130,07/08/2025 10:20,1754565627130,1,07/08/2025 12:20,233799,28,questionnaire-3ys3,,48574228,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,Voucher,,,,Prize,response,score,1,,,,,,,,Yes
8,1754562027130,07/08/2025 10:20,1754565627130,1,07/08/2025 12:20,233799,28,questionnaire-3ys3,,48574228,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,Voucher,,,,,info,,END,3454,,,,,,,Yes
1,1755089658108,13/08/2025 12:54,1755093258108,1,13/08/2025 14:54,233799,28,questionnaire-3ys3,,48676968,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,Voucher,,,,,info,,BEGIN,,,,,,,,Yes
5,1755089661822,13/08/2025 12:54,1755093261822,1,13/08/2025 14:54,233799,28,questionnaire-3ys3,,48676968,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,Voucher,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,value,Yes,,Yes|No,Multiple Choice,2,object-21,,1,Yes
6,1755089661822,13/08/2025 12:54,1755093261822,1,13/08/2025 14:54,233799,28,questionnaire-3ys3,,48676968,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,Voucher,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,quantised,1,,Yes|No,Multiple Choice,2,object-21,,1,Yes
7,1755089661822,13/08/2025 12:54,1755093261822,1,13/08/2025 14:54,233799,28,questionnaire-3ys3,,48676968,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,Voucher,,,,Prize,response,score,1,,,,,,,,Yes
8,1755089661822,13/08/2025 12:54,1755093261822,1,13/08/2025 14:54,233799,28,questionnaire-3ys3,,48676968,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,Voucher,,,,,info,,END,3687,,,,,,,Yes
