Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instr_text,Spreadsheet: digit,Spreadsheet: correct,Spreadsheet: random_blocks,Spreadsheet: random_trials,Spreadsheet: size,branch-s3b7,branch-dgjt
1,1753198709262,22/07/2025 15:38,1753202309262,1,22/07/2025 17:38,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,,,,,,Eligible,Voucher
2,1753198720845,22/07/2025 15:38,1753202320845,1,22/07/2025 17:38,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,1,instruction1,screen1,755tgm,1,continue,,11611.7,11605.800000000001,11611.7,11611.7,11605.800000000001,11611.7,1,0,0,,Click To Continue,next,3,object-4,instruction1,"## You will see the digits 1 to 9 in the centre of the screen, one at a time, in a random order.<br/><br/>Your task is to press the **SPACEBAR** with your preferred hand in response to each digit, **EXCEPT WHEN THE DIGIT IS A 3**, in that case you do nothing.<br/><br/>We are going to start with a practice round.",,,,,,Eligible,Voucher
3,1753198725836,22/07/2025 15:38,1753202325836,1,22/07/2025 17:38,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,1,ready,screen1,vndsmx,1,timedOut,,4997.599999928474,4995.300000000001,4997.599999928474,4997.599999928474,4995.300000000001,4997.599999928474,1,0,0,,Time Limit,screen,0,screen,ready,,,,,,,Eligible,Voucher
4,1753198726037,22/07/2025 15:38,1753202326037,1,22/07/2025 17:38,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,1,trial_withFeedback,digit,9x41os,1,timedOut,,202.2000000238404,200,202.2000000238404,202.2000000238404,200,202.2000000238404,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,6,space,,,90,Eligible,Voucher
5,1753198726354,22/07/2025 15:38,1753202326354,1,22/07/2025 17:38,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,1,trial_withFeedback,mask,zabu7l,2,response,space,320.4999999761567,316.2999999999993,320.4999999761567,320.4999999761567,316.2999999999993,320.4999999761567,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,6,space,,,90,Eligible,Voucher
6,1753198727550,22/07/2025 15:38,1753202327550,1,22/07/2025 17:38,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,2,trial_withFeedback,digit,9x41os,1,timedOut,,200.79999992847297,199.89999999999782,200.79999992847297,200.79999992847297,199.89999999999782,200.79999992847297,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,3,noresponse,,,170,Eligible,Voucher
7,1753198727636,22/07/2025 15:38,1753202327636,1,22/07/2025 17:38,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,2,trial_withFeedback,mask,zabu7l,2,response,space,87.20000000000073,83.20000000000073,87.20000000000073,87.20000000000073,83.20000000000073,87.20000000000073,0,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,3,noresponse,,,170,Eligible,Voucher
8,1753198728741,22/07/2025 15:38,1753202328741,1,22/07/2025 17:38,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,3,trial_withFeedback,digit,9x41os,1,response,space,109.50000002384331,99.70000000000073,109.50000002384331,109.50000002384331,99.70000000000073,109.50000002384331,1,0,0,space,Keyboard Response,response,3,object-177,trial_withFeedback,,7,space,,,160,Eligible,Voucher
9,1753198729846,22/07/2025 15:38,1753202329846,1,22/07/2025 17:38,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,3,trial_withFeedback,mask,zabu7l,2,response,space,116.09999999999854,100.09999999999854,116.09999999999854,116.09999999999854,100.09999999999854,116.09999999999854,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,7,space,,,160,Eligible,Voucher
10,1753198731031,22/07/2025 15:38,1753202331031,1,22/07/2025 17:38,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,4,trial_withFeedback,digit,9x41os,1,timedOut,,201.29999995231628,199.79999999999927,201.29999995231628,201.29999995231628,199.79999999999927,201.29999995231628,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,8,space,,,160,Eligible,Voucher
11,1753198731930,22/07/2025 15:38,1753202331930,1,22/07/2025 17:38,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,4,trial_withFeedback,mask,zabu7l,2,response,noresponse,899.2000000000007,899.2000000000007,899.2000000000007,899.2000000000007,899.2000000000007,899.2000000000007,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,8,space,,,160,Eligible,Voucher
12,1753198733029,22/07/2025 15:38,1753202333029,1,22/07/2025 17:38,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,5,trial_withFeedback,digit,9x41os,1,response,space,118.29999992847297,116.29999999999927,118.29999992847297,118.29999992847297,116.29999999999927,118.29999992847297,1,0,0,space,Keyboard Response,response,3,object-177,trial_withFeedback,,1,space,,,120,Eligible,Voucher
13,1753198734523,22/07/2025 15:38,1753202334523,1,22/07/2025 17:38,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,5,trial_withFeedback,mask,zabu7l,2,response,space,496.7000000238404,483,496.7000000238404,496.7000000238404,483,496.7000000238404,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,1,space,,,120,Eligible,Voucher
14,1753198735709,22/07/2025 15:38,1753202335709,1,22/07/2025 17:38,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,6,trial_withFeedback,digit,9x41os,1,timedOut,,200.79999992847297,199.79999999999927,200.79999992847297,200.79999992847297,199.79999999999927,200.79999992847297,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,5,space,,,100,Eligible,Voucher
15,1753198735967,22/07/2025 15:38,1753202335967,1,22/07/2025 17:38,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,6,trial_withFeedback,mask,zabu7l,2,response,space,258.9999999284737,249.79999999999927,258.9999999284737,258.9999999284737,249.79999999999927,258.9999999284737,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,5,space,,,100,Eligible,Voucher
16,1753198737159,22/07/2025 15:38,1753202337159,1,22/07/2025 17:38,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,7,trial_withFeedback,digit,9x41os,1,timedOut,,202.09999999999854,200.09999999999854,202.09999999999854,202.09999999999854,200.09999999999854,202.09999999999854,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,5,space,,,90,Eligible,Voucher
17,1753198737239,22/07/2025 15:38,1753202337239,1,22/07/2025 17:38,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,7,trial_withFeedback,mask,zabu7l,2,response,space,82.69999992847443,66.5,82.69999992847443,82.69999992847443,66.5,82.69999992847443,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,5,space,,,90,Eligible,Voucher
18,1753198738424,22/07/2025 15:38,1753202338424,1,22/07/2025 17:38,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,8,trial_withFeedback,digit,9x41os,1,timedOut,,202.10000002384186,199.90000000000146,202.10000002384186,202.10000002384186,199.90000000000146,202.10000002384186,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,1,space,,,170,Eligible,Voucher
19,1753198738480,22/07/2025 15:38,1753202338480,1,22/07/2025 17:38,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,8,trial_withFeedback,mask,zabu7l,2,response,space,57.7000000238404,49.89999999999782,57.7000000238404,57.7000000238404,49.89999999999782,57.7000000238404,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,1,space,,,170,Eligible,Voucher
20,1753198739673,22/07/2025 15:38,1753202339673,1,22/07/2025 17:38,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,9,trial_withFeedback,digit,9x41os,1,timedOut,,201.69999992847443,199.70000000000073,201.69999992847443,201.69999992847443,199.70000000000073,201.69999992847443,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,9,space,,,90,Eligible,Voucher
21,1753198739745,22/07/2025 15:38,1753202339745,1,22/07/2025 17:38,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,9,trial_withFeedback,mask,zabu7l,2,response,space,73.59999995231556,66.5,73.59999995231556,73.59999995231556,66.5,73.59999995231556,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,9,space,,,90,Eligible,Voucher
22,1753198740774,22/07/2025 15:39,1753202340774,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,10,trial_withFeedback,digit,9x41os,1,response,noresponse,37.099999999998545,33.19999999999709,37.099999999998545,37.099999999998545,33.19999999999709,37.099999999998545,1,0,0,space,Keyboard Response,response,3,object-177,trial_withFeedback,,3,noresponse,,,130,Eligible,Voucher
23,1753198742281,22/07/2025 15:39,1753202342281,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,10,trial_withFeedback,mask,zabu7l,2,response,space,511.9999999523134,499.59999999999854,511.9999999523134,511.9999999523134,499.59999999999854,511.9999999523134,0,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,3,noresponse,,,130,Eligible,Voucher
24,1753198743470,22/07/2025 15:39,1753202343470,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,11,trial_withFeedback,digit,9x41os,1,timedOut,,201.89999995231483,199.79999999999563,201.89999995231483,201.89999995231483,199.79999999999563,201.89999995231483,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,4,space,,,100,Eligible,Voucher
25,1753198743572,22/07/2025 15:39,1753202343572,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,11,trial_withFeedback,mask,zabu7l,2,response,space,104.69999997616105,99.80000000000291,104.69999997616105,104.69999997616105,99.80000000000291,104.69999997616105,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,4,space,,,100,Eligible,Voucher
26,1753198744768,22/07/2025 15:39,1753202344768,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,12,trial_withFeedback,digit,9x41os,1,timedOut,,202.09999992847588,199.8000000000029,202.09999992847588,202.09999992847588,199.8000000000029,202.09999992847588,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,4,space,,,90,Eligible,Voucher
27,1753198744836,22/07/2025 15:39,1753202344836,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,12,trial_withFeedback,mask,zabu7l,2,response,space,69.59999999999854,66.59999999999854,69.59999999999854,69.59999999999854,66.59999999999854,69.59999999999854,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,4,space,,,90,Eligible,Voucher
28,1753198746034,22/07/2025 15:39,1753202346034,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,13,trial_withFeedback,digit,9x41os,1,timedOut,,202.09999992847588,199.90000000000146,202.09999992847588,202.09999992847588,199.90000000000146,202.09999992847588,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,4,space,,,130,Eligible,Voucher
29,1753198746121,22/07/2025 15:39,1753202346121,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,13,trial_withFeedback,mask,zabu7l,2,response,space,89.29999995231628,83.09999999999854,89.29999995231628,89.29999995231628,83.09999999999854,89.29999995231628,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,4,space,,,130,Eligible,Voucher
30,1753198747316,22/07/2025 15:39,1753202347316,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,14,trial_withFeedback,digit,9x41os,1,timedOut,,201.99999995231337,199.79999999999563,201.99999995231337,201.99999995231337,199.79999999999563,201.99999995231337,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,2,space,,,130,Eligible,Voucher
31,1753198747455,22/07/2025 15:39,1753202347455,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,14,trial_withFeedback,mask,zabu7l,2,response,space,140.7999999761596,133.09999999999854,140.7999999761596,140.7999999761596,133.09999999999854,140.7999999761596,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,2,space,,,130,Eligible,Voucher
32,1753198748647,22/07/2025 15:39,1753202348647,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,15,trial_withFeedback,digit,9x41os,1,timedOut,,200.6999999999971,199.79999999999563,200.6999999999971,200.6999999999971,199.79999999999563,200.6999999999971,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,8,space,,,150,Eligible,Voucher
33,1753198749546,22/07/2025 15:39,1753202349546,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,15,trial_withFeedback,mask,zabu7l,2,response,noresponse,899.0999999999985,899.0999999999985,899.0999999999985,899.0999999999985,899.0999999999985,899.0999999999985,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,8,space,,,150,Eligible,Voucher
34,1753198750729,22/07/2025 15:39,1753202350729,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,16,trial_withFeedback,digit,9x41os,1,timedOut,,201.90000000000146,200,201.90000000000146,201.90000000000146,200,201.90000000000146,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,2,space,,,100,Eligible,Voucher
35,1753198751627,22/07/2025 15:39,1753202351627,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,16,trial_withFeedback,mask,zabu7l,2,response,noresponse,899.2000000000044,899.2000000000044,899.2000000000044,899.2000000000044,899.2000000000044,899.2000000000044,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,2,space,,,100,Eligible,Voucher
36,1753198752811,22/07/2025 15:39,1753202352811,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,17,trial_withFeedback,digit,9x41os,1,timedOut,,201.90000002384477,200,201.90000002384477,201.90000002384477,200,201.90000002384477,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,2,space,,,150,Eligible,Voucher
37,1753198753105,22/07/2025 15:39,1753202353105,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,17,trial_withFeedback,mask,zabu7l,2,response,space,295.90000002384477,282.8000000000029,295.90000002384477,295.90000002384477,282.8000000000029,295.90000002384477,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,2,space,,,150,Eligible,Voucher
38,1753198754292,22/07/2025 15:39,1753202354292,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,18,trial_withFeedback,digit,9x41os,1,timedOut,,200.7999999761596,199.90000000000146,200.7999999761596,200.7999999761596,199.90000000000146,200.7999999761596,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,9,space,,,140,Eligible,Voucher
