origID,roar_acc,roar_logRt,total_tooFast,total_tooSlow,perc_tooFast,perc_tooSlow,roar_exclude_rt
10012318,0.9642857142857143,5.60859585196975,0,3,0,3.571428571428571,0
10014563,0.9523809523809523,5.871126047411483,0,3,0,3.571428571428571,0
10015335,0.9642857142857143,5.6029732781296815,0,0,0,0,0
10015908,0.9761904761904762,5.652638086379936,2,0,2.380952380952381,0,0
10015992,0.9761904761904762,5.456815773533107,4,0,4.761904761904762,0,0
10017182,0.9404761904761905,5.856615466292637,4,0,4.761904761904762,0,0
10017343,0.9523809523809523,5.436716127243922,7,0,8.333333333333332,0,0
10017506,0.9285714285714286,5.8345948114242185,1,0,1.1904761904761905,0,0
10017510,0.9761904761904762,6.005789178343778,0,0,0,0,0
10018275,0.9285714285714286,6.11915611947311,3,0,3.571428571428571,0,0
10018781,0.9761904761904762,6.0527297616851,0,0,0,0,0
10019141,0.9880952380952381,5.7754434104480135,0,0,0,0,0
10022287,0.9642857142857143,5.4422824737933935,24,0,28.57142857142857,0,2
10022667,0.8928571428571429,5.4805304292533545,2,0,2.380952380952381,0,0
10031076,0.8809523809523809,5.485442298690247,3,0,3.571428571428571,0,0
10032283,0.8690476190476191,5.894994330816188,10,0,11.904761904761903,0,2
10034239,0.9404761904761905,5.6338191773193955,2,0,2.380952380952381,0,0
10035810,0.8571428571428571,5.892149518644266,8,0,9.523809523809524,0,0
10036010,0.9166666666666666,5.658375688307105,2,0,2.380952380952381,0,0
10036128,0.9166666666666666,5.856508456625477,4,0,4.761904761904762,0,0
10036163,0.8571428571428571,5.432528025032896,25,0,29.761904761904763,0,2
10037472,0.9047619047619048,5.626097081480718,4,0,4.761904761904762,0,0
10040847,0.9642857142857143,5.61834632354002,0,0,0,0,0
10041411,0.9642857142857143,5.397531291762159,7,0,8.333333333333332,0,0
10041619,0.9642857142857143,5.765341222971612,0,0,0,0,0
10041696,0.9642857142857143,6.331507085425591,0,0,0,0,0
10046029,0.9285714285714286,5.458872478536301,2,0,2.380952380952381,0,0
10053358,0.8928571428571429,5.65654079373632,1,0,1.1904761904761905,0,0
10054018,0.9166666666666666,5.454672727296708,15,0,17.857142857142858,0,2
10057183,0.9285714285714286,5.348666007374188,9,0,10.714285714285714,0,2
10058829,0.8928571428571429,5.738383472022741,14,0,16.666666666666664,0,2
10060293,0.9166666666666666,5.719949552856749,7,0,8.333333333333332,0,0
10060775,0.9404761904761905,6.017914650586491,0,0,0,0,0
10062668,0.9523809523809523,5.64200340351593,6,0,7.142857142857142,0,0
10069166,0.9642857142857143,5.4710061973184425,2,0,2.380952380952381,0,0
10078983,0.9523809523809523,5.291936423126793,12,0,14.285714285714285,0,2
10080317,0.9047619047619048,5.656576447662068,5,0,5.952380952380952,0,0
10081224,0.9404761904761905,5.829572399689476,0,0,0,0,0
10085882,0.8690476190476191,5.783838166209386,1,0,1.1904761904761905,0,0
10090977,0.9285714285714286,5.6738987191076715,7,0,8.333333333333332,0,0
10091442,0.9404761904761905,5.930028310081991,0,0,0,0,0
10098034,0.9880952380952381,5.631392392252245,7,0,8.333333333333332,0,0
10101878,0.9404761904761905,5.6742452345699,0,0,0,0,0
10102711,0.7857142857142857,5.9561761978318275,4,0,4.761904761904762,0,0
10105696,0.9523809523809523,5.799450733884876,2,0,2.380952380952381,0,0
10111036,0.9047619047619048,5.381655406515962,13,0,15.476190476190476,0,2
10114510,0.9523809523809523,6.102371895044073,0,0,0,0,0
10115740,0.9404761904761905,6.373166900807868,0,0,0,0,0
10121995,0.9642857142857143,6.020118186068479,0,0,0,0,0
10122239,0.9285714285714286,5.754871720496452,0,0,0,0,0
10124618,0.9523809523809523,5.688294408900003,5,0,5.952380952380952,0,0
10124650,0.9642857142857143,5.701997680226229,2,0,2.380952380952381,0,0
10124858,0.9047619047619048,5.224849614953088,13,0,15.476190476190476,0,2
10126244,0.8928571428571429,5.917120216853565,2,0,2.380952380952381,0,0
10126674,0.9880952380952381,5.835309005588963,0,0,0,0,0
10132722,0.8809523809523809,5.897290863400956,5,0,5.952380952380952,0,0
10145219,0.8809523809523809,6.439734552341895,0,0,0,0,0
10152098,0.9523809523809523,6.0168981506750425,0,0,0,0,0
10152762,0.9285714285714286,5.349162592780199,12,0,14.285714285714285,0,2
10153970,0.9404761904761905,5.66349346386089,6,0,7.142857142857142,0,0
10158586,0.9761904761904762,6.032231261367911,0,0,0,0,0
10163615,0.9642857142857143,5.284466001268993,25,0,29.761904761904763,0,2
10164423,0.9166666666666666,5.356687355208921,14,0,16.666666666666664,0,2
10168138,0.9642857142857143,5.759309993246503,2,0,2.380952380952381,0,0
10182962,0.9404761904761905,5.72171109584896,4,0,4.761904761904762,0,0
10205713,0.9285714285714286,5.644439236208922,4,0,4.761904761904762,0,0
10211803,0.9880952380952381,5.786439585479711,2,0,2.380952380952381,0,0
10216339,0.9285714285714286,5.4885336753252645,3,0,3.571428571428571,0,0
10224591,0.8571428571428571,6.130036286983296,2,0,2.380952380952381,0,0
10225087,0.9880952380952381,5.7678384728378385,0,0,0,0,0
